from,to,distance,from_desc,to_desc,w
1082120,1621100,5,Cacaoboter,Triplex e.d.van hout,
1082110,1621100,5,Cacaomassa,Triplex e.d.van hout,
1082120,2351900,5,Cacaoboter,Cement/kalk/gips,
1082110,2351900,5,Cacaomassa,Cement/kalk/gips,
3091000,2351900,5,Motorfietsen&onderd.,Cement/kalk/gips,
3091000,1083020,5,Motorfietsen&onderd.,Thee,
1082120,9603000,5,Cacaoboter,Begrafenis/Crematie,
1082110,9603000,5,Cacaomassa,Begrafenis/Crematie,
2630100,1107110,5,Zendtoest./Tv-camera,Mineraal-/bronwater,
3091000,1107110,5,Motorfietsen&onderd.,Mineraal-/bronwater,
1082120,4920000,5,Cacaoboter,Goed.verv.per trein,
1082110,4920000,5,Cacaomassa,Goed.verv.per trein,
891000,1042000,5,Mineral.v.chem.ind.,Margar.ea.spijsvett.,
610120,1042000,5,Aardgascondensaat,Margar.ea.spijsvett.,
111899,1042000,5,Ov.oliehoud.zaden,Margar.ea.spijsvett.,176.018219014537
3091000,2443120,5,Motorfietsen&onderd.,"Zink, ruw",
2390000,1909999,5,Bouwmaterialen neg,Loondnst aardoliepr.,
1609999,1909999,5,Loondnst hout(prod),Loondnst aardoliepr.,
3091000,2444100,5,Motorfietsen&onderd.,Koper,
1082120,3520120,5,Cacaoboter,Hoogovengas,
1082110,3520120,5,Cacaomassa,Hoogovengas,
1082120,9602000,5,Cacaoboter,Kapper/schoonh.verz.,
1082110,9602000,5,Cacaomassa,Kapper/schoonh.verz.,
1909999,9602000,5,Loondnst aardoliepr.,Kapper/schoonh.verz.,
3091000,8891000,5,Motorfietsen&onderd.,Kinderopvangdnst.,
1082120,9030000,5,Cacaoboter,Kunstvoorwerpen,
1082110,9030000,5,Cacaomassa,Kunstvoorwerpen,
3091000,9030000,5,Motorfietsen&onderd.,Kunstvoorwerpen,
3091000,111310,4,Motorfietsen&onderd.,Gerst,
1920263,113511,4,Gasolie verwarming,Pootaardappelen,
3091000,113511,4,Motorfietsen&onderd.,Pootaardappelen,
3091000,1624000,4,Motorfietsen&onderd.,Emballage v.hout,
2390000,1920211,4,Bouwmaterialen neg,Benzine,
1609999,1920211,4,Loondnst hout(prod),Benzine,
111200,1920270,4,Maïs,Petroleum,
111700,1920270,4,Peulvruchten,Petroleum,
1081900,1920270,4,Melasse ea bypr.suik,Petroleum,
111340,1920270,4,Overige graansoorten,Petroleum,
3091000,1920270,4,Motorfietsen&onderd.,Petroleum,
2020000,3101000,4,Bestrijdingsmid.,Bedrijfsmeubelen,
1082120,3101000,4,Cacaoboter,Bedrijfsmeubelen,
1082110,3101000,4,Cacaomassa,Bedrijfsmeubelen,
1909999,3101000,4,Loondnst aardoliepr.,Bedrijfsmeubelen,
3091000,3101000,4,Motorfietsen&onderd.,Bedrijfsmeubelen,
1082120,3600000,4,Cacaoboter,Water,
1082110,3600000,4,Cacaomassa,Water,
1909999,3600000,4,Loondnst aardoliepr.,Water,
2630100,3600000,4,Zendtoest./Tv-camera,Water,
3091000,3600000,4,Motorfietsen&onderd.,Water,
1920263,141190,4,Gasolie verwarming,Runderen,
2042126,146120,4,Huid-/haarverz.mid.,Biggen,
3091000,1062900,4,Motorfietsen&onderd.,Ov.zetmeelproducten,
1082120,4321022,4,Cacaoboter,Instal.onderh_gebouw,
1082110,4321022,4,Cacaomassa,Instal.onderh_gebouw,
1909999,4321022,4,Loondnst aardoliepr.,Instal.onderh_gebouw,
3091000,2809999,4,Motorfietsen&onderd.,Loondnst machines,
1082120,3530000,4,Cacaoboter,Stoom/Ww/Stadsverw.,
1082110,3530000,4,Cacaomassa,Stoom/Ww/Stadsverw.,
2630100,3530000,4,Zendtoest./Tv-camera,Stoom/Ww/Stadsverw.,
3091000,3530000,4,Motorfietsen&onderd.,Stoom/Ww/Stadsverw.,
3091000,1722900,4,Motorfietsen&onderd.,Huish/sanit.pap.war,
111200,2630200,4,Maïs,Telefoontoest.,
111340,2630200,4,Overige graansoorten,Telefoontoest.,
146120,2809100,4,Biggen,Onderd.v.machines,
146120,6619000,4,Biggen,Financ.bemiddeling,
891000,149290,4,Mineral.v.chem.ind.,Ov.dierlijke product,
610120,149290,4,Aardgascondensaat,Ov.dierlijke product,
1609999,149290,4,Loondnst hout(prod),Ov.dierlijke product,
111899,149290,4,Ov.oliehoud.zaden,Ov.dierlijke product,
146120,6832000,4,Biggen,Makel.beheer onr.gd,
146120,6310000,4,Biggen,GegVerwerkWebhosting,
146120,1399000,4,Biggen,Ov.textielwaren,
146120,5210000,4,Biggen,Opslag VeemPakhuis,
2211000,113310,4,Rubber banden,Paprika's,
113430,5229000,4,Uien,Vrachtbemiddeling,
147100,5229000,4,Pluimvee,Vrachtbemiddeling,
146120,6621292,4,Biggen,Ov.verzek.hulpdnst,
113430,6621292,4,Uien,Ov.verzek.hulpdnst,
147100,6621292,4,Pluimvee,Ov.verzek.hulpdnst,
113430,9511000,4,Uien,Repar.computers,
147100,9511000,4,Pluimvee,Repar.computers,
146120,5829000,4,Biggen,Softw.drager/online,
146120,2712900,4,Biggen,Schakel/verdeel&ond.,
130110,2712900,4,Bloembollen,Schakel/verdeel&ond.,
3091000,3811560,4,Motorfietsen&onderd.,Afval textiel/leer,
1082120,5510000,4,Cacaoboter,Hotels/pensions,
1082110,5510000,4,Cacaomassa,Hotels/pensions,
3091000,5510000,4,Motorfietsen&onderd.,Hotels/pensions,
111700,2016100,4,Peulvruchten,Polyetheen,
2020000,812120,4,Bestrijdingsmid.,Grind,
1082120,812120,4,Cacaoboter,Grind,
1082110,812120,4,Cacaomassa,Grind,
1909999,812120,4,Loondnst aardoliepr.,Grind,
2630100,812120,4,Zendtoest./Tv-camera,Grind,
3091000,812120,4,Motorfietsen&onderd.,Grind,
2390000,2016510,4,Bouwmaterialen neg,Polypropyleen,
3091000,7310000,4,Motorfietsen&onderd.,Reclame-/advert.dnst,
3091000,5813300,4,Motorfietsen&onderd.,Advertenties,
3091000,1729199,4,Motorfietsen&onderd.,Pap/kart.-waren neg,
146120,2711000,4,Biggen,Elek.mot/trafo&ond.,
3091000,1629000,4,Motorfietsen&onderd.,Ov.houtproducten,
111700,1610000,4,Peulvruchten,Hout primair,
3091000,1610000,4,Motorfietsen&onderd.,Hout primair,
2020000,1621100,4,Bestrijdingsmid.,Triplex e.d.van hout,
1082190,1621100,4,Cacaopoeder,Triplex e.d.van hout,
2442120,1621100,4,Aluminiumoxyde,Triplex e.d.van hout,
2630100,1621100,4,Zendtoest./Tv-camera,Triplex e.d.van hout,
3091000,1621100,4,Motorfietsen&onderd.,Triplex e.d.van hout,
111700,2041300,4,Peulvruchten,Zeep/poetsprod.,
2020000,2041300,4,Bestrijdingsmid.,Zeep/poetsprod.,
1082120,2041300,4,Cacaoboter,Zeep/poetsprod.,
1082110,2041300,4,Cacaomassa,Zeep/poetsprod.,
146120,2221300,4,Biggen,Plat.ongecel.v.kunst,
2020000,2351900,4,Bestrijdingsmid.,Cement/kalk/gips,
1082190,2351900,4,Cacaopoeder,Cement/kalk/gips,
2630100,2351900,4,Zendtoest./Tv-camera,Cement/kalk/gips,
3099090,2351900,4,Ov.wagens/transp.mid,Cement/kalk/gips,
2053000,2323400,4,Etherische oliën,Ov. Keramische prod.,
2014110,2323400,4,OvAcycl.koolwat.stof,Ov. Keramische prod.,
1623112,2323400,4,Deuren v.hout,Ov. Keramische prod.,
2015900,2323400,4,Ov.stikstofverbind.,Ov. Keramische prod.,
1081100,2363400,4,Suiker,Beton/mortel,
2442120,2363400,4,Aluminiumoxyde,Beton/mortel,
3091000,2363400,4,Motorfietsen&onderd.,Beton/mortel,
146120,7111000,4,Biggen,Architectdiensten,
2020000,1083020,4,Bestrijdingsmid.,Thee,
1082120,1083020,4,Cacaoboter,Thee,
1082110,1083020,4,Cacaomassa,Thee,
1909999,1083020,4,Loondnst aardoliepr.,Thee,
111899,1083020,4,Ov.oliehoud.zaden,Thee,
2630100,1083020,4,Zendtoest./Tv-camera,Thee,
3099090,1083020,4,Ov.wagens/transp.mid,Thee,
146120,1413939,4,Biggen,Bovenkleding/Trui,
2020000,2573490,4,Bestrijdingsmid.,Onderd.v.gereedschap,
1082120,2573490,4,Cacaoboter,Onderd.v.gereedschap,
1082110,2573490,4,Cacaomassa,Onderd.v.gereedschap,
3091000,2573490,4,Motorfietsen&onderd.,Onderd.v.gereedschap,
111700,3317000,4,Peulvruchten,Rep/Ondh.trein e.d.,
3091000,3317000,4,Motorfietsen&onderd.,Rep/Ondh.trein e.d.,
3091000,5814120,4,Motorfietsen&onderd.,Gedrukte vaktydschr,
146120,5911200,4,Biggen,Film/Video op drager,
2012000,5911200,4,Kleurstoffen,Film/Video op drager,
2670200,5911200,4,Optische artik.&ond.,Film/Video op drager,
2432120,5911200,4,Plaatststaal,Film/Video op drager,
3091000,7420000,4,Motorfietsen&onderd.,Fotografie/ontwikkel,
2020000,9603000,4,Bestrijdingsmid.,Begrafenis/Crematie,
1082190,9603000,4,Cacaopoeder,Begrafenis/Crematie,
3091000,9603000,4,Motorfietsen&onderd.,Begrafenis/Crematie,
111200,300000,4,Maïs,Verse VisWaterd(-pr),
111700,300000,4,Peulvruchten,Verse VisWaterd(-pr),
1081900,300000,4,Melasse ea bypr.suik,Verse VisWaterd(-pr),
111340,300000,4,Overige graansoorten,Verse VisWaterd(-pr),
3091000,300000,4,Motorfietsen&onderd.,Verse VisWaterd(-pr),
111700,1107110,4,Peulvruchten,Mineraal-/bronwater,
2020000,1107110,4,Bestrijdingsmid.,Mineraal-/bronwater,
2630200,1107110,4,Telefoontoest.,Mineraal-/bronwater,
1082120,1107110,4,Cacaoboter,Mineraal-/bronwater,
1082110,1107110,4,Cacaomassa,Mineraal-/bronwater,
1909999,1107110,4,Loondnst aardoliepr.,Mineraal-/bronwater,
