gg_iot;desc_iot;gg_agt;desc_agt
0111150;Granen;0111100;Tarwe
0111150;Granen;0111150;Granen
0111150;Granen;0111200;Maïs
0111150;Granen;0111310;Gerst
0111150;Granen;0111340;Overige graansoorten
0111890;Oliehoudende zaden;0111810;Sojabonen
0111890;Oliehoudende zaden;0111823;Grondnoten(pinda's)
0111890;Oliehoudende zaden;0111890;Oliehoudende zaden
0111890;Oliehoudende zaden;0111899;Ov.oliehoud.zaden
0113510;Aardappelen;0113510;Aardappelen
0113510;Aardappelen;0113511;Pootaardappelen
0113510;Aardappelen;0113512;Cons.aardappelen
0113510;Aardappelen;0113513;Zetmeelaardappelen
0113690;Zaaizaden;0113690;Zaaizaden
0113900;Groenten;0113120;Koolsoorten
0113900;Groenten;0113310;Paprika's
0113900;Groenten;0113320;Komkommers
0113900;Groenten;0113340;Tomaten
0113900;Groenten;0113430;Uien
0113900;Groenten;0113800;Champignons
0113900;Groenten;0113900;Groenten
0113900;Groenten;0113990;Overige groenten
0115100;Tabak;0115100;Tabak
0119200;Bloemen;0119200;Bloemen
0119900;Ov.akkerbouwgewassen;0111700;Peulvruchten
0119900;Ov.akkerbouwgewassen;0113529;Ov.eetb.wortel&knol
0119900;Ov.akkerbouwgewassen;0113710;Suikerbieten
0119900;Ov.akkerbouwgewassen;0116900;Ov.plantaardig mater
0119900;Ov.akkerbouwgewassen;0119100;Voedergewassen
0119900;Ov.akkerbouwgewassen;0119900;Ov.akkerbouwgewassen
0124569;Fruit;0123000;Citrusfruit
0124569;Fruit;0124100;Appels
0124569;Fruit;0124569;Fruit
0124569;Fruit;0124590;Overig fruit
0124569;Fruit;0125690;NootBanaanOlijf ed
0127899;Overige gewassen;0127110;Koffie ongebrand
0127899;Overige gewassen;0127140;Cacaobonen
0127899;Overige gewassen;0127890;Gewassen neg
0127899;Overige gewassen;0127899;Overige gewassen
0130900;Bloembol/plant/stek;0130110;Bloembollen
0130900;Bloembol/plant/stek;0130129;Boom/plant/stek/ent
0130900;Bloembol/plant/stek;0130900;Bloembol/plant/stek
0141199;Rund/kalf;0141190;Runderen
0141199;Rund/kalf;0141199;Rund/kalf
0141199;Rund/kalf;0142120;Kalveren
0141290;Rauwe melk;0141290;Rauwe melk
0146100;Varkens/biggen;0146100;Varkens/biggen
0146100;Varkens/biggen;0146110;Varkens
0146100;Varkens/biggen;0146120;Biggen
0147100;Pluimvee;0147100;Pluimvee
0147200;Eieren;0147200;Eieren
0149900;Ov.dieren&-producten;0143459;Overige diersoorten
0149900;Ov.dieren&-producten;0149290;Ov.dierlijke product
0149900;Ov.dieren&-producten;0149390;Wol/Huid,ruw
