use_gg,supply_gg,waarde,N
0111100,0111100,6188.91081106318,1855
0111310,0111100,5794.11379176587,1186
0119100,0111100,37834.9639472061,1800
0113511,0111100,111373.479743383,10101
0113690,0111100,381310.437621598,844
0160000,0111100,943511.581606696,6643
1624000,0111100,13961.3359086461,297
1920290,0111100,3707.84599215344,387
1920311,0111100,6290.33189287957,687
1920211,0111100,1992.23395817881,40
2015100,0111100,128629.296820495,6330
2809100,0111100,9009.78209047078,2273
3510000,0111100,99569.9993352491,2450
3789010,0111100,14360.5739545391,793
3789020,0111100,48976.9731401103,1576
4100022,0111100,37381.7990329316,699
4211000,0111100,9267.39646864266,61
4330021,0111100,13747.4586041002,266
4330022,0111100,18585.8035233715,628
4390022,0111100,31551.4651398668,623
5110180,0111100,9881.94055501603,647
5320000,0111100,24000,299
6100000,0111100,35363.9400896942,1342
6411000,0111100,38524.4931019717,345
6490000,0111100,33490.4731832131,539
6619000,0111100,7306.96342053712,168
6920000,0111100,69023.3151992121,1872
7810000,0111100,20805.1955930241,560
8130000,0111100,8163.09604582368,223
0620000,0111100,45392.4642322608,732
1091019,0111100,320834.865872253,1162
6512000,0111100,46370.188896031,1838
8400040,0111100,39934.2242398445,907
9410000,0111100,28698.9668676811,728
1920262,0111100,48116.6325658111,924
7120000,0111100,32883.5795191725,894
0111100,0111200,1538.40425579452,279
0111310,0111200,1873.6640045552,279
0119100,0111200,6695.13381088578,296
0113511,0111200,9953.40072232153,571
0160000,0111200,13992.6202404602,295
1624000,0111200,7000,147
1920290,0111200,1429.38795107262,212
1920311,0111200,2227.61656088727,270
1920262,0111200,2502.39761577385,73
2015100,0111200,5992.67479328751,744
3510000,0111200,6462.52966718433,689
4390022,0111200,7089.85956246178,179
5320000,0111200,12052.1269711354,120
6411000,0111200,7000,65
6920000,0111200,6229.35722781313,196
7120000,0111200,7593.3892700477,191
7810000,0111200,6731.69341720453,189
6512000,0111200,6641.58871290917,279
8400040,0111200,8994.32237852699,279
9410000,0111200,9019.47639365229,326
0113690,0111200,9138.14276057956,60
1920211,0111200,1992.23395817881,40
2809100,0111200,3000,802
3789010,0111200,3000,382
3789020,0111200,3999.20734550471,400
4100022,0111200,9399.76776293677,194
4211000,0111200,3000,11
4330021,0111200,2000,23
4330022,0111200,5910.14043753822,161
5110180,0111200,2000,111
6100000,0111200,5991.4275541074,588
6490000,0111200,1990.66774239088,113
6619000,0111200,2891.09659717617,60
8130000,0111200,5587.85307070624,99
0620000,0111200,1994.63340475684,50
1091019,0111200,9498.11858073783,137
0111100,0111310,5346.71427728882,1241
0111310,0111310,5794.11379176587,1186
0119100,0111310,20263.9053048253,764
0113511,0111310,62079.5705830129,4724
0113690,0111310,29683.8327234033,220
0160000,0111310,162461.282991337,2391
1624000,0111310,7000,147
1920290,0111310,2600.13142936893,279
1920311,0111310,6290.33189287957,687
1920211,0111310,1992.23395817881,40
2015100,0111310,60266.7248243494,3686
2809100,0111310,7224.85520787212,1479
3510000,0111310,35523.3415447794,1702
3789010,0111310,8982.18695579502,467
3789020,0111310,24077.4188427521,835
4100022,0111310,24669.594612632,425
4211000,0111310,8271.55960229116,52
4330021,0111310,9028.22324760414,136
4330022,0111310,14689.8380376352,440
4390022,0111310,22352.797976574,416
5110180,0111310,7581.69017493808,420
5320000,0111310,24000,299
6100000,0111310,17794.6424647453,886
6411000,0111310,22840.2792442858,207
6490000,0111310,9130.94263142436,232
6619000,0111310,5777.01797982467,86
6920000,0111310,35220.3328886393,1155
7810000,0111310,15733.4646785693,375
8130000,0111310,5587.85307070624,99
0620000,0111310,3601.57745870304,321
1091019,0111310,170753.420102598,512
6512000,0111310,22762.2558768401,1173
8400040,0111310,22704.5448749719,587
9410000,0111310,17860.3546259693,437
1920262,0111310,14208.8827131526,569
7120000,0111310,28200.8840640251,778
0111200,0111100,293.768949542323,120
0111340,0111100,1.27304476954948,6
0111700,0111100,1834.83634388828,518
3811591,0111100,2000,70
4322022,0111100,9599.12951379471,109
5630000,0111100,2000,68
5829000,0111100,2000,31
6310000,0111100,5996.89116637625,27
6621292,0111100,4687.00062080733,344
6832000,0111100,7652.77597626722,346
6910000,0111100,9216.55745772239,97
7711000,0111100,13000,25
8121000,0111100,9138.70363907164,207
8550600,0111100,4000,46
3789050,0111100,6000,146
7500000,0111100,31163.8390865842,734
3312900,0111100,154616.386740087,3370
4941000,0111100,82934.4753358662,536
2020000,0111100,39516.0633728153,1147
7112000,0111100,8617.59836992856,126
7310000,0111100,859.239958204192,2
8200000,0111100,97249.3828195278,232
9511000,0111100,3000,42
5210000,0111100,6438.65818588581,50
5229000,0111100,21528.3126615888,164
6820040,0111100,131352.619405432,1051
7020000,0111100,27034.3533328854,446
7790000,0111100,78736.548136549,854
4520000,0111100,36744.8391061805,181
8129000,0111100,8692.72684048233,145
0113512,0111100,3782.22782584405,305
0130129,0111100,18387.6298728873,413
1623120,0111100,1510.90089643272,30
1920270,0111100,1996.55083553036,11
2030100,0111100,2000,31
2120100,0111100,5162.88548218885,94
2530000,0111100,1438.17608676642,42
2572000,0111100,171.147180887156,4
2573490,0111100,302.053512665081,5
2593900,0111100,5235.31926885875,42
2720000,0111100,2408.35651867392,28
2740000,0111100,591.643481326086,16
2823000,0111100,8210.14906521324,599
3101000,0111100,4000,164
3313900,0111100,18696.9649423739,32
3540000,0111100,53527.1702643168,292
3600000,0111100,5877.63901924264,213
4291000,0111100,728.440397708836,9
5310000,0111100,1989.68807411944,18
6831000,0111100,2345.93904270988,94
7410000,0111100,4550.73054507078,115
7490000,0111100,3228.41734522443,34
7820100,0111100,3631.26504609223,258
7820200,0111100,397.435498798926,12
0141190,0111100,6705.46369669454,402
0142120,0111100,8954.11800834456,531
0149290,0111100,838.057622964062,160
0146110,0111100,10560.4054517919,2908
0146120,0111100,2137.45551714606,195
0147200,0111100,12568.56342634,212
1031000,0111100,1000,18
1062900,0111100,13000,504
1081900,0111100,8000,96
1091020,0111100,124998.899817847,178
8622000,0111100,5000,153
6200000,0111100,35972.4968708398,447
2059920,0111100,2000,4
2229000,0111100,2000,2
2223000,0111100,1000,2
2571390,0111100,6717.99229747736,237
4312330,0111100,1027.19728661632,2
4390030,0111100,3972.80271338368,15
7320000,0111100,1992.64826848847,23
4321022,0111100,13486.2141869138,138
2120210,0111100,6764.83782360844,34
0130110,0111100,8342.88979596271,312
0891000,0111100,7754.63128858687,195
1083010,0111100,1000,13
1399000,0111100,1998.59657482438,85
1729199,0111100,962.707492258907,49
1920280,0111100,1000,29
2809999,0111100,4625.33308384011,731
3530000,0111100,17743.8392690417,288
5610000,0111100,1000,24
7830000,0111100,1030.76592349579,125
9601000,0111100,4000,181
0143459,0111100,746.465807359454,5167
2439000,0111100,2000,3
1721000,0111100,2265.62159849914,98
1722900,0111100,1449.69648182901,23
1723000,0111100,160.216248737041,23
2222000,0111100,16474.2322292712,18
1105000,0111100,997.604621623566,15
2390000,0111100,2455.86756065863,27
2011000,0111100,1847.91994234876,4
2630200,0111100,1000,2
0111200,0111200,5.08049106776531,6
0111340,0111200,1.27304476954948,6
0111700,0111200,108.616924489604,6
3811591,0111200,1000,12
4322022,0111200,1059.04635555371,6
5630000,0111200,1000,12
5829000,0111200,1000,6
6310000,0111200,996.891166376246,6
6621292,0111200,1108.90340282383,46
6832000,0111200,1000,12
6910000,0111200,2241.78302681005,6
7711000,0111200,1000,23
8121000,0111200,841.091314462894,6
8550600,0111200,2000,32
3789050,0111200,1000,9
7500000,0111200,1000,6
3312900,0111200,8110.14034541271,140
4941000,0111200,1993.03783571207,48
4520000,0111200,7868.32385523794,25
6820040,0111200,11165.0018535705,217
7020000,0111200,2780.31464422955,15
7790000,0111200,8970.8597099334,177
2020000,0111200,2207.06674934721,67
7112000,0111200,2720.76773559211,10
7310000,0111200,859.239958204192,2
8200000,0111200,8782.61677774378,62
9511000,0111200,1000,2
5210000,0111200,992.326812823845,13
5229000,0111200,3837.79226275753,29
8129000,0111200,569.156070544714,26
6200000,0111200,3919.28546137099,31
4321022,0111200,4940.95364444629,13
0111200,0111310,189.750995965409,64
0111700,0111310,1559.19010928272,300
0113512,0111310,2532.89206391373,137
0130129,0111310,7000,134
1623120,0111310,1000,4
1920270,0111310,1996.55083553036,11
2030100,0111310,1000,6
2120100,0111310,2559.5293127769,39
2530000,0111310,1438.17608676642,42
2572000,0111310,171.147180887156,4
2573490,0111310,302.053512665081,5
2593900,0111310,5235.31926885875,42
2720000,0111310,2408.35651867392,28
2740000,0111310,591.643481326086,16
2823000,0111310,449.879884733349,30
3101000,0111310,2000,37
