gg;description
0111100;Tarwe
0111200;Maïs
0111310;Gerst
0111340;Overige graansoorten
0111700;Peulvruchten
0111810;Sojabonen
0111823;Grondnoten(pinda's)
0111899;Ov.oliehoud.zaden
0113120;Koolsoorten
0113310;Paprika's
0113320;Komkommers
0113340;Tomaten
0113430;Uien
0113511;Pootaardappelen
0113512;Cons.aardappelen
0113513;Zetmeelaardappelen
0113529;Ov.eetb.wortel&knol
0113690;Zaaizaden
0113710;Suikerbieten
0113800;Champignons
0113990;Overige groenten
0115100;Tabak
0116900;Ov.plantaardig mater
0119100;Voedergewassen
0119200;Bloemen
0123000;Citrusfruit
0124100;Appels
0124590;Overig fruit
0125690;NootBanaanOlijf ed
0127110;Koffie ongebrand
0127140;Cacaobonen
0127890;Gewassen neg
0130009;Inv.eb.plantopstand.
0130110;Bloembollen
0130129;Boom/plant/stek/ent
0141190;Runderen
0141290;Rauwe melk
0142120;Kalveren
0143459;Overige diersoorten
0146110;Varkens
0146120;Biggen
0147100;Pluimvee
0147200;Eieren
0149290;Ov.dierlijke product
0149390;Wol/Huid,ruw
0160000;Agrarische diensten
0200000;Bosbouwproducten
0300000;Verse VisWaterd(-pr)
0500000;Steen-/bruinkool
0610110;Aardolie ruw
0610120;Aardgascondensaat
0620000;Aardgas
0710000;IJzererts
0720000;Non-Ferro ertsen
0811000;Natuursteen
0812110;Zand
0812120;Grind
0812200;Klei
0891000;Mineral.v.chem.ind.
0892000;Turf
0893000;Zout
0899000;Delfstof neg
0900000;Dnst. tbv delfst.win
1009999;Loondnst voeding
1011119;Kalfs-/rundvlees
1011129;Varkensvlees
1011191;Ov.vleessoorten
1011192;Ov.slachtproducten
1012000;Pluimveevlees
1013000;Bewerkt vlees/worst
1019001;Nt-eetb.slachtafval
1020000;BewerkVisWaterd(-pr)
1031000;Aardappelprod.
1032000;Vruchten-/groentesap
1039100;Bewerk.&diepvr.grnte 
1039200;Bew.fruit&-conserven
1041410;Veekoeken
1041900;Oliën/vetten
1042000;Margar.ea.spijsvett.
1051111;Ondermelk
1051112;Consumptiemelk
1051120;Consumptieroom
1051210;Magere melkpoeder
1051220;Volle melkpoeder
1051310;Boter
1051320;Boterolie
1051400;Kaas
1051510;Gecondens.melk
1051520;Yoghurt/GistZuurpr.
1051556;Wei(-producten)
1051590;Zuivelproducten neg.
1052000;Consumptie-ijs
1061100;Rijst
1061200;Meel&deeg v.graan
1061349;Ov.graanprod
1062110;Zetmeel
1062130;Div.suikersoorten
1062900;Ov.zetmeelproducten
1071110;Brood
1071120;Gebak
1072000;Ov.bakkerijproducten
1073000;Deegwaren
1081100;Suiker
1081900;Melasse ea bypr.suik
1082010;Chocoladeprod.
1082020;Suikerwerk e.d.
1082110;Cacaomassa
1082120;Cacaoboter
